"﻿code","description","purchaseTimePlanned","cost","demandForecast","demandPLCDO","min"
"1890763","RIVET","16","0.00019","182989.9098","","7671"
"1890821","RIVET POP","16","0.0001","155377.1301","","6769"
"1890813","RIVET","15","0.00021","133171.4347","","5145"
"120592","SHEET AL ALY 6061T6 BARE 48X144","39","0.00751","32318.92338","","3454"
"1613686","ACIDO FOSFORICO","57","0.00278","25182.56134","","3933"
"1047513",""STRAP"," TIE-DOWN"," ADJUSTABLE"," SELF-CLINCHING"," PLAST"","31","0.03998","16551.09619","","1402"
"1600774","AEROSHELL CALIBRATING FLUID 2 (204.4L DRUM)","48","0.00516","2736122.535","","357570"
"1894849","RIVET POP","16","0.01","8856.221999","","372"
"1700483","THERMOFIT 1 1/2 BLACK","35","0.01778","7797.698112","","738"
"1147925","PACKING","49","0.00528","5954.972916","","798"
"1890979","RIVET","12","0.014","5810.331217","","177"
"1700269","THERMOFIT 1/4 BLACK","21","0.08265","4514.09591","","249"
"2755866","WASHER","17","0.01463","3894.546312","","173"
